Date,Open,High,Low,Close,Volume
2025-02-10 09:15:04.807151,18072.572746078346,18134.0445521335,17912.595743385504,18072.572746078346,2255398.8441815837
2025-02-10 09:20:04.807151,18099.18600033517,18099.18600033517,18038.830106706686,18062.294034102957,6663377.175209051
2025-02-10 09:25:04.807151,18071.87825530067,18226.08008125704,18071.87825530067,18196.885502910605,5177823.018065855
2025-02-10 09:30:04.807151,18165.26330304889,18315.681185447356,18165.26330304889,18253.80417064954,9305830.870895447
2025-02-10 09:35:04.807151,18246.2156081926,18246.2156081926,17998.671179751596,18044.861566406533,3051319.7243723264
2025-02-10 09:40:04.807151,18070.191242500117,18269.456263748074,18039.077175912284,18192.855329494218,2511917.8159090243
2025-02-10 09:45:04.807151,18209.08336668533,18355.853550473264,18209.08336668533,18314.993325460022,6723109.856405042
2025-02-10 09:50:04.807151,18295.90033615963,18447.33799393603,18295.90033615963,18440.052202246436,3344849.450265414
2025-02-10 09:55:04.807151,18422.004117601347,18422.004117601347,18193.91569989475,18195.520416332885,2108086.550463699
2025-02-10 10:00:04.807151,18196.941759435853,18196.941759435853,18032.7152830715,18089.217712802805,3366080.607959938
2025-02-10 10:05:04.807151,18088.234005694845,18099.590768503524,17949.945668082728,18005.155616354452,2625280.72872917
2025-02-10 10:10:04.807151,18000.533437636295,18000.533437636295,17889.730593996643,17900.420847697387,2019509.8104915614
2025-02-10 10:15:04.807151,17893.20232620616,18213.001040362204,17893.20232620616,18109.78882894066,5269580.010186745
2025-02-10 10:20:04.807151,18099.14285474327,18165.11176159978,17951.974387789982,18108.959309924194,5566309.507094044
2025-02-10 10:25:04.807151,18149.803750061106,18164.41294531274,18090.341917888556,18106.082728310535,3511141.9977137176
2025-02-10 10:30:04.807151,18099.45998680099,18160.963120449265,18099.45998680099,18147.479248603067,10103490.61121567
2025-02-10 10:35:04.807151,18135.518166593854,18210.77332343282,18100.50395631646,18184.76754085187,3477880.151982328
2025-02-10 10:40:04.807151,18193.968196911177,18193.968196911177,17908.961528395394,17999.94884009926,5327586.45992009
2025-02-10 10:45:04.807151,17998.12487671209,17998.12487671209,17913.480255216953,17940.224289549624,1760480.4718541692
2025-02-10 10:50:04.807151,17923.691611898532,17923.691611898532,17799.810896821877,17823.628865603037,2100231.1037885756
2025-02-10 10:55:04.807151,17819.171757318298,17885.203116833254,17819.171757318298,17861.74443152901,6291342.661692968
2025-02-10 11:00:04.807151,17860.670823898774,17869.375410538905,17837.66820249189,17840.518776478246,6543924.604475165
2025-02-10 11:05:04.807151,17848.195521636906,17922.096444652172,17827.640307973164,17842.333002606094,3208957.4152891682
2025-02-10 11:10:04.807151,17847.91849926757,17847.91849926757,17753.63169058002,17755.10934364239,4799182.143683743
2025-02-10 11:15:04.807151,17737.079448312255,17759.486983665844,17723.1074063391,17738.744292615,4091878.239432164
2025-02-10 11:20:04.807151,17749.54185257975,17804.68178256214,17716.591498259797,17788.616271433053,4558466.49194923
2025-02-10 11:25:04.807151,17804.485800083636,17946.69192727687,17774.254106673892,17854.142737002454,2070489.959477659
2025-02-10 11:30:04.807151,17834.934189187952,17924.4721018824,17819.383678120506,17892.35234640131,12312958.03417937
2025-02-10 11:35:04.807151,17878.455279985887,17878.455279985887,17785.42196705895,17829.454763285976,17237000.50881757
2025-02-10 11:40:04.807151,17826.324956603672,17940.801380212502,17826.324956603672,17896.229177294335,2466192.2246555123
2025-02-10 11:45:04.807151,17900.158369847904,18014.715069091242,17874.22811688624,17938.265017432303,3131530.0701879407
2025-02-10 11:50:04.807151,17942.885961241172,18020.035256598647,17918.51088622748,17933.016329942424,4945692.355558199
2025-02-10 11:55:04.807151,17932.250213014013,17932.250213014013,17809.55664399817,17856.563164191877,5353544.645859989
2025-02-10 12:00:04.807151,17831.00143615022,17917.256791345237,17831.00143615022,17904.787818403885,2575206.3916196474
2025-02-10 12:05:04.807151,17922.908632553583,17928.992969466864,17793.11017013929,17876.524907703642,4760304.573768908
2025-02-10 12:10:04.807151,17858.797746814962,17906.516590823594,17858.797746814962,17892.2803346192,3043035.4548091134
