Datetime,Open,High,Low,Close,Volume
2026-01-06 18:24:56.391482,21980.34269835976,21996.811216180795,21968.349287975943,21968.349287975943,8973
2026-01-06 18:29:56.391482,21979.246099240576,21991.656726263416,21968.21837659412,21978.63531758017,58168
2026-01-06 18:34:56.391482,22011.23983160496,22011.555235361695,21997.338184551027,22001.528569519494,143272
2026-01-06 18:39:56.391482,22032.07300462042,22051.719565892086,22011.45931484107,22051.719565892086,8465
2026-01-06 18:44:56.391482,22017.707696712187,22029.954997051485,22008.81023547463,22009.765543532838,84506
2026-01-06 18:49:56.391482,22005.900489561052,22022.440573082135,21983.919018383265,22003.89817616302,10900
2026-01-06 18:54:56.391482,22024.039680689904,22037.519744254572,22018.223677122936,22022.836346873548,98217
2026-01-06 18:59:56.391482,22031.471579268735,22035.638945002873,22019.401270824495,22028.81235685011,112681
2026-01-06 19:04:56.391482,22024.886278326416,22027.975135858032,22012.530374725513,22012.530374725513,79562
2026-01-06 19:09:56.391482,22056.92232798134,22066.369648524487,22035.402934385165,22066.369648524487,63322
2026-01-06 19:14:56.391482,22064.758403852993,22083.770930134528,22043.97941917805,22048.6421462959,24742
2026-01-06 19:19:56.391482,22065.183459026513,22083.645724968592,22051.22056587584,22071.05174423063,88637
2026-01-06 19:24:56.391482,22081.10376483457,22093.3917237458,22066.85946622503,22082.787596140966,12021
2026-01-06 19:29:56.391482,22079.678745270183,22098.490619123895,22069.44269117701,22074.37317217417,97300
2026-01-06 19:34:56.391482,22060.732176381956,22062.714578025945,22044.02028180661,22052.791288373763,119464
2026-01-06 19:39:56.391482,22068.15104020871,22079.018558846714,22056.29933210621,22075.13474485851,95113
2026-01-06 19:44:56.391482,22081.696307037615,22085.469165253107,22064.807897230807,22077.83306821716,29672
2026-01-06 19:49:56.391482,22065.90816460107,22075.686798615792,22053.58884534912,22074.9412037107,126616
2026-01-06 19:54:56.391482,22079.102528554842,22083.400084712863,22070.30323728374,22073.434909912954,31506
2026-01-06 19:59:56.391482,22066.770020212527,22073.16026606596,22053.993130213174,22073.16026606596,124394
2026-01-06 20:04:56.391482,22081.486194176046,22098.904637433436,22068.905691726282,22082.032297548976,133959
2026-01-06 20:09:56.391482,22066.457250591964,22081.479698702227,22052.406080345267,22073.621488133962,46035
2026-01-06 20:14:56.391482,22062.949383868916,22076.759488723317,22056.302060214315,22070.264605929584,66444
2026-01-06 20:19:56.391482,22064.734396903117,22081.50283533478,22054.20348340931,22062.63479213459,48194
2026-01-06 20:24:56.391482,22128.890510355457,22149.575196662307,22127.980885035504,22133.387968664058,72567
2026-01-06 20:29:56.391482,22110.67382082692,22122.41020670079,22099.862940593437,22099.862940593437,53643
2026-01-06 20:34:56.391482,22096.458819365667,22106.582035261577,22083.693210074907,22106.582035261577,104186
2026-01-06 20:39:56.391482,22104.288512562554,22109.169031878388,22089.853337810237,22101.074533761996,114020
2026-01-06 20:44:56.391482,22098.79723173596,22116.345553614876,22082.246178145477,22084.366243883906,124527
2026-01-06 20:49:56.391482,22059.26715376626,22081.20067598615,22041.48913644378,22049.34128138996,72688
2026-01-06 20:54:56.391482,22091.546097304465,22099.912509088816,22077.730375689778,22099.912509088816,109187
2026-01-06 20:59:56.391482,22078.192428457696,22087.171722585874,22067.41277632923,22076.308078888756,36397
2026-01-06 21:04:56.391482,22111.273438456654,22118.730640544152,22090.864572146646,22118.730640544152,84519
2026-01-06 21:09:56.391482,22107.372473412168,22117.250927734753,22101.107509759862,22117.250927734753,147151
2026-01-06 21:14:56.391482,22111.4058340609,22133.269817731525,22109.653166145945,22131.202468623018,113764
2026-01-06 21:19:56.391482,22129.671505389626,22143.47378071677,22113.569266388924,22143.47378071677,56742
2026-01-06 21:24:56.391482,22112.55811563001,22113.076842718438,22094.777156070613,22107.538582355122,138160
2026-01-06 21:29:56.391482,22088.559555370746,22091.823033668643,22077.984331398966,22077.984331398966,105930
2026-01-06 21:34:56.391482,22075.090548840486,22085.743309817914,22073.227390556145,22078.69729304101,72899
2026-01-06 21:39:56.391482,22069.603789616016,22090.34334713618,22061.637996724017,22074.940118389022,82032
2026-01-06 21:44:56.391482,22118.813000046775,22128.29676596379,22115.908082666178,22127.22032414676,138037
2026-01-06 21:49:56.391482,22133.19252404977,22148.431379397774,22127.496192641473,22136.629866779138,102700
2026-01-06 21:54:56.391482,22132.927946309588,22137.576833038078,22125.178114833645,22126.61126241369,130308
2026-01-06 21:59:56.391482,22132.371962013724,22139.490632749643,22125.49077300836,22125.49077300836,90249
2026-01-06 22:04:56.391482,22135.274285758245,22145.944212499442,22128.355437779963,22135.598589180023,91295
2026-01-06 22:09:56.391482,22164.480723692144,22183.756375539524,22156.120577155933,22160.790164518912,124939
2026-01-06 22:14:56.391482,22171.344161797762,22180.502897530165,22159.266043602838,22159.266043602838,47010
2026-01-06 22:19:56.391482,22180.985612079166,22204.812803193592,22168.98513529214,22204.812803193592,69713
2026-01-06 22:24:56.391482,22212.627375000055,22233.602484923147,22191.98816811227,22211.357015656715,41824
2026-01-06 22:29:56.391482,22229.01236315492,22241.168693698106,22207.127995126415,22241.168693698106,54726
2026-01-06 22:34:56.391482,22235.767412406945,22241.36404220222,22223.035266644096,22241.36404220222,147349
2026-01-06 22:39:56.391482,22285.86264525034,22301.57996297073,22270.921603925675,22270.921603925675,102784
2026-01-06 22:44:56.391482,22266.577186636263,22274.870651324203,22249.4143680911,22261.553039522376,48271
2026-01-06 22:49:56.391482,22250.897928858492,22271.488505808782,22233.13859293465,22248.205931373996,131340
2026-01-06 22:54:56.391482,22226.085553865145,22233.224050903547,22214.602753344847,22214.602753344847,142883
2026-01-06 22:59:56.391482,22252.59977198452,22260.949934002892,22237.229671014113,22257.62335793769,84236
2026-01-06 23:04:56.391482,22252.268196048073,22273.953817362428,22244.37148168088,22273.953817362428,109749
2026-01-06 23:09:56.391482,22218.344755128895,22221.51753489218,22201.55421711347,22221.39906125168,54992
2026-01-06 23:14:56.391482,22232.018711033732,22248.518953508184,22221.45683534025,22231.56743389862,39394
2026-01-06 23:19:56.391482,22221.557166697265,22240.77978635252,22203.27037031811,22217.040872451158,125195
